No	Group	SubjectID	ItemID	ResponseText	ItemNo	ItemText
1	Level1	K1001	t001	ходят	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
2	Level1	K1002	t001	прогуляют	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
3	Level1	K1003	t001	идут	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
4	Level1	K1004	t001	идут	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
5	Level1	K1005	t001	пройдут	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
6	Level1	K1006	t001	гуляют	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
7	Level1	K1007	t001	гуляют	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
8	Level1	K1008	t001	гуляют	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
9	Level1	K1009	t001	гуляли	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
10	Level1	K1010	t001	гуляют	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
11	Level1	K1011	t001	гулят	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
12	Level1	K1012	t001	идут	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
13	Level1	K1013	t001	проходят	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
14	Level1	K1014	t001	йдут	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
15	Level1	K1015	t001	йдут	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
16	Level1	K1016	t001	гуляют	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
17	Level1	K1017	t001	гуляют	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
18	Level1	K1018	t001	идут	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
19	Level1	K1019	t001	идут	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
20	Level1	K1020	t001	гулят	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
21	Level1	K1021	t001	ходят	1	Q: Что они сейчас делают? A: Сейчас они ____________ по лесной тропе.
22	Level1	K1001	t002	идёт	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
23	Level1	K1002	t002	водит	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
24	Level1	K1003	t002	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
25	Level1	K1004	t002	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
26	Level1	K1005	t002	пройдёт	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
27	Level1	K1006	t002	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
28	Level1	K1007	t002	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
29	Level1	K1008	t002	идёт	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
30	Level1	K1009	t002	идёт	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
31	Level1	K1010	t002	ездит	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
32	Level1	K1011	t002	ехать	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
33	Level1	K1012	t002	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
34	Level1	K1013	t002	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
35	Level1	K1014	t002	бегает	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
36	Level1	K1015	t002	ходит	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
37	Level1	K1016	t002	возьми такси	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
38	Level1	K1017	t002	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
39	Level1	K1018	t002	идёт	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
40	Level1	K1019	t002	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
41	Level1	K1020	t002	ехать	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
42	Level1	K1021	t002	едет	2	Q: Что машина сейчас делает? A: Сейчас она ____________.
43	Level1	K1001	t003	прилетел	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
44	Level1	K1002	t003	провела	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
45	Level1	K1003	t003	летала	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
46	Level1	K1004	t003	провёл	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
47	Level1	K1005	t003	залетал	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
48	Level1	K1006	t003	поехал	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
49	Level1	K1007	t003	поехал	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
50	Level1	K1008	t003	поехал	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
51	Level1	K1009	t003	ездила	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
52	Level1	K1010	t003	провёл	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
53	Level1	K1011	t003	поехал	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
54	Level1	K1012	t003	ездил	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
55	Level1	K1013	t003	ехал	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
56	Level1	K1014	t003	ездил	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
57	Level1	K1015	t003	пойду	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
58	Level1	K1016	t003	провёл	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
59	Level1	K1017	t003	провёл	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
60	Level1	K1018	t003	летел	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
61	Level1	K1019	t003	поехал	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
62	Level1	K1020	t003	ехать	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
63	Level1	K1021	t003	лечу	3	Q: Где вы провели прошлое лето? A: Я ______________ к сестре в Москву.
64	Level1	K1001	t004	ходят	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
65	Level1	K1002	t004	ползут	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
66	Level1	K1003	t004	полезут	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
67	Level1	K1004	t004	вернутся на море	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
68	Level1	K1005	t004	лезти	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
69	Level1	K1006	t004	ходили	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
70	Level1	K1007	t004	ходили	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
71	Level1	K1008	t004	ползают	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
72	Level1	K1009	t004	ходят	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
73	Level1	K1010	t004	-	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
74	Level1	K1011	t004	спают	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
75	Level1	K1012	t004	ходут	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
76	Level1	K1013	t004	переходят	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
77	Level1	K1014	t004	полезти	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
78	Level1	K1015	t004	йдут	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
79	Level1	K1016	t004	уходят в море	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
80	Level1	K1017	t004	лежат	4	Q: Что черепахи сейчас делают? A: Сейчас они ____________.
