No	Group	SubjectID	LevelTest	Age	Gender	MonthLearn	MonthStay	ItemID	ExpectedAnswer	ItemType	ExpectedPath	ExpectedManner	ExpectedDirection	ExpectedAspect	ResponseText	ResponseStatus	ResponsePath	ResponseManner	ResponseDirection	ResponseAspect	PathY	MannerY	DirectionY	AspectY
1	Level1	K1001	19.0	27.0	M	24.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	ходят	MotionVerb	-	walk	multi	impf	1	1	0	1
2	Level1	K1002	18.0	33.0	F	48.0	0.75	t001	идут	DirectionItem	-	walk	uni	impf	прогуляют	OtherVerb	x	x	x	pf	0	0	0	0
3	Level1	K1003	18.0	20.0	F	54.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	идут	MotionVerb	-	walk	uni	impf	1	1	1	1
4	Level1	K1004	17.0	25.0	M	36.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	идут	MotionVerb	-	walk	uni	impf	1	1	1	1
5	Level1	K1005	17.0	36.0	M	156.0	1.0	t001	идут	DirectionItem	-	walk	uni	impf	пройдут	MotionVerb	pro	walk	-	pf	0	1	0	0
6	Level1	K1006	16.0	20.0	F	24.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	гуляют	OtherVerb	x	x	x	impf	0	0	0	1
7	Level1	K1007	16.0	20.0	F	48.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	гуляют	OtherVerb	x	x	x	impf	0	0	0	1
8	Level1	K1008	16.0	20.0	F	18.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	гуляют	OtherVerb	x	x	x	impf	0	0	0	1
9	Level1	K1009	16.0	19.0	F	18.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	гуляли	OtherVerb	x	x	x	impf	0	0	0	1
10	Level1	K1010	15.0	21.0	F	14.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	гуляют	OtherVerb	x	x	x	impf	0	0	0	1
11	Level1	K1011	15.0	23.0	M	18.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	гулят	OtherVerb	x	x	x	impf	0	0	0	1
12	Level1	K1012	15.0	23.0	F	20.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	идут	MotionVerb	-	walk	uni	impf	1	1	1	1
13	Level1	K1013	14.0	20.0	M	12.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	проходят	MotionVerb	pro	walk	-	impf	0	1	0	1
14	Level1	K1014	13.0	29.0	F	84.0	6.0	t001	идут	DirectionItem	-	walk	uni	impf	йдут	MotionVerb	-	walk	uni	impf	1	1	1	1
15	Level1	K1015	12.0	22.0	M	21.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	йдут	MotionVerb	-	walk	uni	impf	1	1	1	1
16	Level1	K1016	12.0	20.0	M	18.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	гуляют	OtherVerb	x	x	x	impf	0	0	0	1
17	Level1	K1017	12.0	20.0	M	24.0	60.0	t001	идут	DirectionItem	-	walk	uni	impf	гуляют	OtherVerb	x	x	x	impf	0	0	0	1
18	Level1	K1018	11.0	19.0	F	20.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	идут	MotionVerb	-	walk	uni	impf	1	1	1	1
19	Level1	K1019	9.0	22.0	F	18.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	идут	MotionVerb	-	walk	uni	impf	1	1	1	1
20	Level1	K1020	9.0	22.0	F	20.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	гулят	OtherVerb	x	x	x	impf	0	0	0	1
21	Level1	K1021	5.0	20.0	F	19.0	0.0	t001	идут	DirectionItem	-	walk	uni	impf	ходят	MotionVerb	-	walk	multi	impf	1	1	0	1
22	Level1	K1001	19.0	27.0	M	24.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	идёт	MotionVerb	-	walk	uni	impf	1	0	1	1
23	Level1	K1002	18.0	33.0	F	48.0	0.75	t002	едет	DirectionItem	-	ride	uni	impf	водит	OtherVerb	x	x	x	impf	0	0	0	1
24	Level1	K1003	18.0	20.0	F	54.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
25	Level1	K1004	17.0	25.0	M	36.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
26	Level1	K1005	17.0	36.0	M	156.0	1.0	t002	едет	DirectionItem	-	ride	uni	impf	пройдёт	MotionVerb	pro	walk	-	pf	0	0	0	0
27	Level1	K1006	16.0	20.0	F	24.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
28	Level1	K1007	16.0	20.0	F	48.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
29	Level1	K1008	16.0	20.0	F	18.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	идёт	MotionVerb	-	walk	uni	impf	1	0	1	1
30	Level1	K1009	16.0	19.0	F	18.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	идёт	MotionVerb	-	walk	uni	impf	1	0	1	1
31	Level1	K1010	15.0	21.0	F	14.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	ездит	MotionVerb	-	ride	multi	impf	1	1	0	1
32	Level1	K1011	15.0	23.0	M	18.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	ехать	MotionVerb	-	ride	uni	impf	1	1	1	1
33	Level1	K1012	15.0	23.0	F	20.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
34	Level1	K1013	14.0	20.0	M	12.0	0.0	t002	едет	DirectionItem	-	ride	uni	impf	едет	MotionVerb	-	ride	uni	impf	1	1	1	1
